What is <code>=</code> operator called in Elixir?	"It's <em>match</em> operator, it's used in pattern matching."	
How to enable shell history for iex (or erl)?	"<code>iex --erl ""-kernel shell_history enabled""</code><br><br>or via env variable:<br><br><code>ERL_AFLAGS=""-kernel shell_history enabled""</code>"	
"How to use Erlang's documentation?"	"<div>Erlang/OTP documentation is divided into ""System Documentation"" and module documentation (grouped by applications). System documentation consists of Erlang Reference Manual and other article-like docs such as Getting Started, Programming Examples as well as Design Principles or Efficiency Guide. Module documentation documents specific functions within modules.<br></div>"	
How to print built-in functions within erl session?	Type <code>help().</code>	
How to exit shell that froze/hang up?	Type <code>C-g</code> to open shell controls and type <code>?</code> to get help.	
How to unbind a variable in erl?	Use <code>f(X)</code> or <code>f()</code>.	
"Why can't variables start with lowercase in Erlang?"	Because atoms start with lowercase.	
"What would <code>'foo bar'</code>&nbsp;be evaluated to in Erlang?"	"'&lt;name&gt;' denote atoms in Erlang, so <code>'foo bar'</code> would be an atom."	
Explain the difference between <code>=:=</code> and <code>==</code> and <code>=/=</code> and <code>/=</code>.	<code>=:=</code> and <code>=/=</code> are type-strict, whereas <code>==</code> and <code>/=</code> are not.	
Is Erlang strict or not? Is it dynamic or static?	"Erlang is strict and dynamic because it has strict typing but dynamic because it doesn't require types to be declared."	
Why <code>1 &lt; true</code> true evaluates to true in Elixir?	"Because types in Elixir are orderable according to the following rule: &nbsp;<span style=""background-color: rgb(238, 255, 204); color: rgb(85, 85, 85); font-family: Menlo, Monaco, Consolas, &quot;Liberation Mono&quot;, &quot;Courier New&quot;, monospace; font-size: 1.1em;"">number &lt; atom &lt; reference &lt; fun &lt; port &lt; pid &lt; tuple &lt; list &lt; bit string.</span>"	
How to create a tuple, get n-th element, update element and check size in Erlang?	<pre>T = {a, b, c, d, e, f, g, h}.<br>element(n, T).<br>setelement(n, T, v).<br>tuple_size(T).</pre>Tuples are indexed from 1.	
How to concatenate two lists in Elixir?	<code>[a, b, c] ++ [d, e, f]</code>	
How to print in a console in Erlang?	"<code>io.format(""~p~n"", [SomeValue]).</code><br><br>Todo, what is ~p and other values"	
How to get head and tail of a list in Elixir?	Use <code>hd/1</code> and <code>tl/1</code> BIFs.	
Create and modify a map in Erlang?	<pre>X = #{a =&gt; 1, b =&gt; 2, c =&gt; 3}.<br>Y = X#{a := 2, d =&gt; 4}.<br></pre><br>Other functions are available in <code>map</code> module.	
How to export all functions at once from an Erlang module?	<code>-compile(export_all).</code>	
Give an example of pattern matching on lists.	<pre>[H|T] = L<br>[T] = L<br>[] = L</pre>	
Give example of list comprehension in Erlang.	<code>[2*N*M, N &lt;- [1, 2, 3, 4, 5, 6], M &lt;- [8, 9, 10], N &lt;= 3]</code>	
What is an Erlang module?	Modules are containers for code. They guard access to functions by either making them private or exporting them for public use. There can be only one module per object file (.beam file). If a module is named test, it must reside in a source file called test.erl and be compiled to an object file called test.beam. A module consists of a sequence of attributes and function declarations, each terminated by period (.).	
How to compile Erlang code?	<code>erlc flags file.erl</code> from command line, <code>compile:file(FileName)</code> from erl or in a module or <code>c(...)</code> from erl.	
How to preview module attributes/metadata in Erlang?	VIa <code>module_info()</code> function, e.g. <code>sys:module_info()</code>.<br><br><br>5.5  module_info/0 and module_info/1 functions<br><br>The compiler automatically inserts the two special, exported functions into each module:<br><br>    Module:module_info/0<br>    Module:module_info/1<br><br>These functions can be called to retrieve information about the module.<br>module_info/0<br><br>The module_info/0 function in each module, returns a list of {Key,Value} tuples with information about the module. Currently, the list contain tuples with the following Keys: module, attributes, compile, exports, md5 and native. The order and number of tuples may change without prior notice.<br>module_info/1<br><br>The call module_info(Key), where Key is an atom, returns a single piece of information about the module.<br><br>The following values are allowed for Key:<br><br>module<br><br>    Returns an atom representing the module name.<br>attributes<br><br>    Returns a list of {AttributeName,ValueList} tuples, where AttributeName is the name of an attribute, and ValueList is a list of values. Notice that a given attribute can occur more than once in the list with different values if the attribute occurs more than once in the module.<br><br>    The list of attributes becomes empty if the module is stripped with the beam_lib(3) module (in STDLIB).<br>compile<br><br>    Returns a list of tuples with information about how the module was compiled. This list is empty if the module has been stripped with the beam_lib(3) module (in STDLIB).<br>md5<br><br>    Returns a binary representing the MD5 checksum of the module. If the module has native code loaded, this will be the MD5 of the native code, not the BEAM bytecode.<br>exports<br><br>    Returns a list of {Name,Arity} tuples with all exported functions in the module.<br>functions<br><br>    Returns a list of {Name,Arity} tuples with all functions in the module.<br>nifs<br><br>    Returns a list of {Name,Arity} tuples with all NIF functions in the module.<br>native<br><br>    Return true if the module has native compiled code. Return false otherwise. In a system compiled without HiPE support, the result is always false<br>	
Difference between throw, exit and error?	There are 3 classes which can be caught with a try ... catch: throw, error and exit.<br><br>    throw is generated using throw/1 and is intended to be used for non-local returns and does not generate an error unless it is not caught (when you get a nocatch error).<br><br>    error is generated when the system detects an error. You can explicitly generate an error using error/1. The system also includes a stacktrace in the generated error value, for example {badarg,[...]}.<br><br>    exit is generated using exit/1 and is intended to signal that this process is to die.	
Explain try-catch syntax in Erlang.	"<img src=""img7853868083437059736.jpg""><br><br>Example:<br><br><img src=""img2734561429400882572.jpg"">"	
How does catch primitive work?	"When an exception occurs within a catch statement, it is converted into an {'EXIT', ...} tuple that describes the error."	
Explain <code>badarg</code> - <code>ArgumentError</code> error.	<table><tbody><tr><td>Bad argument. The argument is of wrong data type, or is otherwise badly formed.</td></tr><tr></tr></tbody></table>	
How much memory single process occupies?	Few kilobytes (typically around 2), compared to OS thread which takes few megabytes.	
How to send data to a process? (Elixir)	Use <code>Kernel.send/2</code>, e.g.: <br><br><code>send(pid, {:an, :arbitrary, :term})</code>	
How to receive a message? (Elixir)	"Via <code>receive</code> block, e.g.:<pre>  receive do<br>&nbsp;   message -&gt;<br>&nbsp; &nbsp;   IO.inspect(message)<br>&nbsp;   after 5000 -&gt;<br>&nbsp; &nbsp;   IO.puts(""message not received"")<br>  end </pre>"	
What will <code>catch error(err)</code> return?	"<code> {'EXIT', {err, ...stacktrace...}} </code>"	
What will <code>catch exit(err)</code> return?	"<code>{'EXIT', err}</code>"	
What will <code>catch throw(err)</code> return?	<code>err</code>	
Explain&nbsp;<code>badarith</code> - <code>ArithmericError</code> error.	<table><tbody><tr><td>Bad argument in an arithmetic expression.</td></tr><tr></tr></tbody></table>	
"Explain Erlang's <code>{badmatch,V}</code> - <code>MatchError</code> error."	"<table><tbody><tr><td>Evaluation of a match expression failed. The value&nbsp;<span style=""background-color: rgb(243, 243, 243);"">V</span>&nbsp;did not match.</td></tr><tr></tr></tbody></table>"	
Explain <code>function_clause</code> - <code>FunctionClauseError</code> error.	<table><tbody><tr><td>No matching function clause is found when evaluating a function call.</td></tr><tr></tr></tbody></table>	
Explain <code>{case_clause, V}</code> - <code>CaseClauseError</code> error.	"<table><tbody><tr><td>No matching branch is found when evaluating a&nbsp;<span style=""background-color: rgb(243, 243, 243);"">case</span>&nbsp;expression. The value&nbsp;<span style=""background-color: rgb(243, 243, 243);""><code>V</code></span>&nbsp;did not match.</td></tr><tr></tr></tbody></table>"	
Explain <code>if_clause</code> - <code>CondClauseError</code> error.	No true branch is found when evaluating an <code>if/cond</code> expression.	
Explain <code>{try_clause,V}</code> error (<code>TryClauseError</code>).	"<table><tbody><tr><td>No matching branch is found when evaluating the of-section of a&nbsp;<span style=""background-color: rgb(243, 243, 243);"">try</span>&nbsp;expression. The value&nbsp;<span style=""background-color: rgb(243, 243, 243);"">V</span>&nbsp;did not match.</td></tr><tr></tr></tbody></table>"	
Explain <code>undef</code> error (<code>UndefinedFunctionError</code>).	It means that the function cannot be found when evaluating a function call.	
Explain <code>{badfun,F}</code>&nbsp;-&nbsp;<code>BadFunctionError</code> error.	<table><tbody><tr><td>Something is wrong with a function <code>F</code>.</td></tr></tbody></table>	
Explain <code>{badarity,F}</code> - <code>BadArityError</code> error.	A function is applied to the wrong number of arguments. <code>F</code> describes the function and the arguments.	
Explain <code>timeout_value</code> error.	"<table><tbody><tr><td>The timeout value in a&nbsp;<span style=""background-color: rgb(243, 243, 243);"">receive..after</span>&nbsp;expression is evaluated to something else than an integer or&nbsp;<span style=""background-color: rgb(243, 243, 243);"">infinity</span>.</td></tr><tr></tr></tbody></table>"	
Explain <code>noproc</code> error.	Trying to link or monitor to a non-existing process or port.	
Explain <code>noconnection</code> error (Erlang).	<table><tbody><tr><td>A link or monitor to a remote process was broken because a connection between the nodes could not be established or was severed.</td></tr><tr></tr></tbody></table>	
Explain <code>{nocatch,V}</code> error (Erlang).	"<table><tbody><tr><td>Trying to evaluate a&nbsp;<span style=""background-color: rgb(243, 243, 243);"">throw&nbsp;</span>outside a&nbsp;<span style=""background-color: rgb(243, 243, 243);"">catch</span>.&nbsp;<span style=""background-color: rgb(243, 243, 243);"">V</span>&nbsp;is the thrown term.</td></tr><tr></tr></tbody></table>"	
Explain <code>system_limit</code> error (Erlang).	<table><tbody><tr><td>A system limit has been reached, e.g. too many processes were created.</td></tr></tbody></table>	
What does it mean that <code>Process.register(pid, :name)</code> creates a local name?	It means that the registered name only applies to single BEAM instance.	
Why servers should handle all messages they receive (even if unexpected)?	Because if message queue always grows it will crash the system at some point, or at least cause process slowdown. Each message should be processed or ignored.	
Why when spawning processes you should be careful what is in current closure?	Because data* will be deep-copied to new process which can be slow and consumes memory.<br><br>*Except for binaries.	
What is <em>m:n</em> threading?	In <em>m:n</em> threading, <em>n</em> OS threads execute <em>m</em> microthreads (Erlang processes). In other words, BEAM maps some <em>n</em> number of OS threads onto some <em>m</em> number of BEAM processes.	
What is the execution window for Erlang processes?	~2000 reductions (function calls).	
When a process will implicitly yield execution to the scheduler before its execution time is up?	<code>Process.sleep/1</code>, <code>receive</code> or when calling I/O operations, which are internally executed on separate threads called async threads. When issuing an I/O call, the calling process is preempted, and other processes get the execution slot. After the I/O operation finishes, the scheduler resumes the calling process.	
How many async threads Erlang uses?	By default, BEAM fires up 10 async threads, but you can change this via the <code>+A n</code> Erlang flag.	
Does BEAM support kernel poll? How to enable it?	Yes, if the OS supports it, Erlang will rely on a kernel poll such as epoll or kqueue, which takes advantage of the OS kernel for nonblocking I/O. You can request the use of a kernel poll by providing the <code>+K true</code> Erlang flag when you start the BEAM.	
What are basic responsibilities of a server process?	<ul><li>Spawn a separate process</li><li>Run an infinite loop in the process</li><li>Maintain the process state</li><li>React to messages</li><li>Send a response back to the caller</li></ul>	
What is a callback module?	"It's a module that is passed by name to some generic code (behaviour) that executes some callbacks on the module."	
List four basic GenServer features.	<ul><li>Support for calls and casts</li><li>Customizable timeouts for call requests</li><li>Propagation of server-process crashes to client processes waiting for a response</li><li>Support for distributed systems</li></ul>	
What is a behaviour?	In Erlang terminology, a behaviour is generic code that implements a common pattern. The generic logic is exposed through the behaviour module, and you can plug into it by implementing a corresponding callback module. The callback module must satisfy a contract defined by the behaviour, meaning it must implement and export a set of functions. The behaviour module then calls into these functions, allowing you to provide your own specialization of the generic code.	
List Erlang standard library behaviours.	<ul><li><code>gen_server</code> — Generic implementation of a stateful server process</li><li><code>supervisor</code> — Provides error handling and recovery in concurrent systems</li><li><code>application</code> — Generic implementation of components and libraries</li><li><code>gen_event</code> — Provides event-handling support</li><li><code>gen_statem</code> — Runs a finite state machine in a stateful server process</li></ul>	
Explain <code>use</code> macro.	"<div>The&nbsp;<code>use</code>&nbsp;macro is frequently used as an extension point. This means that, when you&nbsp;<code>use</code>&nbsp;a module&nbsp;<code>FooBar</code>, you allow that module to inject&nbsp;<em>any</em>&nbsp;code in the current module, such as importing itself or other modules, defining new functions, setting a module state, etc.</div><br><div>For example, in order to write tests using the ExUnit framework, a developer should use the&nbsp;<code>ExUnit.Case</code>&nbsp;module:</div><pre>defmodule AssertionTest do   use ExUnit.Case, async: true    test ""always pass"" do     assert true   end end</pre>  Behind the scenes, use requires the given module and then calls the __using__/1 callback on it allowing the module to inject some code into the current context. Some modules (for example, the above ExUnit.Case, but also Supervisor and GenServer) use this mechanism to populate your module with some basic behaviour, which your module is intended to override or complete.  Generally speaking, the following module: <pre>defmodule Example do   use Feature, option: :value end</pre> is compiled into <pre>defmodule Example do   require Feature   Feature.__using__(option: :value) end</pre>  "	
How to check module info (Elixir)?	SomeModule.__info__/1	
"How to start Elixir's GenServer?"	"Via <code>GenServer</code>'s <code>start/2</code> or <code>start_link/3</code>. The function accepts a module, initial argument for <code>init</code> and options, such as <code>:name</code>. For example:<br><pre>GenServer.start_link(Stack, [:hello], name: Stack)</pre>"	
"Explain <code>GenServer</code>'s <code>init</code>, <code>handle_cast</code> and <code>handle_call</code>."	<ul><br><li><code>init/1</code> accepts one argument. This is the second argument provided to <code>GenServer.start/2</code>, and you can use it to pass data to the server process while starting it.</li><br><li>The result of <code>init/1</code> must be in the format <code>{:ok, initial_state}</code>.</li><br><li><code>handle_cast/2</code> accepts the request and the state and should return the result in the format <code>{:noreply, new_state}</code>.</li><br><li><code>handle_call/3</code> takes the request, the caller information, and the state. It should return the result in the format <code>{:reply, response, new_state}</code>.</li><br></ul><br>For example: <br><pre>defmodule KeyValueStore do<br>  use GenServer<br>  <br>  def init(_) do<br>    {:ok, %{}}<br>  end<br>  <br>  def handle_cast({:put, key, value}, state) do<br>    {:noreply, Map.put(state, key, value)}<br>  end<br>  <br>  def handle_call({:get, key}, _, state) do<br>    {:reply, Map.get(state, key), state}<br>  end<br>end<br></pre>	
How to check currently running applications in BEAM?	:application.which_applications() or application:which_applications()	
How to check current BEAM memory usage?	<code>:erlang.memory()</code>	
How to start Observer GUI?	<pre>:observer.start()</pre>	
What is an umbrella application? How to create umbrella project?	Todo	
What is the purpose of <code>GenServer.handle_info</code> callback?	<code>handle_info/2</code> is invoked for all messages which are not handled by <code>handle_cast</code> and <code>handle_call</code>.   <code>msg</code> is the message and state is the current state of the GenServer. When a timeout occurs the message is <code>:timeout</code>.  Return values are the same as <code> handle_cast/2</code>.  This callback is optional. If one is not implemented, the received message will be logged.	
How to register process when starting it via GenServer?	Use <code>:name</code> option, e.g.: <code>GenServer.start(__MODULE__, nil, name: __MODULE__)</code>.	
How to stop process from GenServer callbacks?	Return <code>{:stop, reason}</code> or <code>:ignore</code> from <code>init/1</code> or <code>{:stop, reason, new_state</code> from <code>handle_</code> callbacks.	
Explain GenServer process lifecycle.	"<img src=""16633584227328093070721391953307.jpg"">"	
Implement <code>GenServer</code> stack data structure.	<pre>defmodule Stack do<br>  use GenServer<br>  <br>  @impl true<br>  def init(stack) do<br>    {:ok, stack}<br>  end<br><br>  @impl true<br>  def handle_call(:pop, _from, [head | tail]) do<br>    {:reply, head, tail}<br>  end<br><br>  @impl true<br>  def handle_cast({:push, element}, state) do<br>    {:noreply, [element | state]}<br>  end<br>end<br><br># Start the server<br>{:ok, pid} = GenServer.start_link(Stack, [:hello])<br><br># This is the client<br>GenServer.call(pid, :pop)<br>#=&gt; :hello<br><br>GenServer.cast(pid, {:push, :world})<br>#=&gt; :ok<br><br>GenServer.call(pid, :pop)<br>#=&gt; :world<br></pre>	
What is a process dictionary; what are some function used to access it?	"<span style=""background-color: rgb(255, 255, 255);"">As the name implies, process dictionaries are dictionaries belonging to specific process where the keys and values can be any term (any type of value). The&nbsp;</span><code>Process.get/1</code><span style=""background-color: rgb(255, 255, 255);"">,&nbsp;</span><code>Process.put/2</code><span style=""background-color: rgb(255, 255, 255);"">&nbsp;and&nbsp;</span><code>Process.delete/1</code><span style=""background-color: rgb(255, 255, 255);"">&nbsp;functions (and other from Process module) are used to manipulate the current process dictionary. PDs are isolated and belong to specific process.</span>"	
"How to extract process' state for debugging?"	<code>:sys.get_state(Name)</code>	
How to return real-time information about given process in Elixir?	Using <code>Process</code> module:<br><pre>Process.info(pid)</pre>	
What is the Erlang module used for debugging processes?	Through various hooks, <code>:sys</code> module allows developers to introspect the state of the process and trace system events that happen during its execution, such as received messages, sent replies and state changes.	
What happens with original message sent to GenServer after receive block times out on the sender side?	Nothing. Original message remains in server queue and will be processed at some point. Timeout only means that client stopped waiting for it.	
Name one popular library used for pooling.	Poolboy.	
What is the default timeout for <code>GenServer</code> call?	5 seconds.	
Explain try catch syntax in Elixir	<code>try do ... catch type, value -&gt; ... end</code>	
"Explain Elixir's <code>raise</code> macro."	Creates <code>%RuntimeError{}</code> struct thrown as an error.	
Why try catch blocks are dangerous from memory point of view?	Because function calls in try block cannot use tail calls.	
Which ones can be rescued and which can be caught in Elixir?<br><br>Erlang error, exception, throw, exit	Rescued: Erlang error (as ErlangError) and exceptions<br>Caught: all	
Which error will be raised if throw is not caught?	<code>{:nocatch, value}</code>	
What does <code>Process.flag(:trap_exit, true) | process_flag(trap_exit, true)</code> does?	"When trap_exit is set to&nbsp;true, exit signals arriving to a process are converted to&nbsp;{'EXIT', From, Reason}&nbsp;messages, which can be received as ordinary messages. If&nbsp;trap_exit&nbsp;is set to&nbsp;false, the process exits if it receives an exit signal other than&nbsp;normal&nbsp;and the exit signal is propagated to its linked processes. Application processes are normally not to trap exits."	
What happens if GenServer process dies when client makes a sync call?	When you issue a synchronous request via <code>GenServer.call</code>, if a server process crashes, an exit signal will occur in your client process. This is a simple but very important example of cross-process error propagation. Internally, GenServer sets up a temporary monitor that targets the server process. While waiting for a response from the server, if a <code>:DOWN</code> message is received, GenServer can detect that a process has crashed and raise a corresponding exit signal in the client process.	
Explain basic function of supervisor process.	<ul><li>The supervisor process traps exits, and then starts the child processes.</li><li>If at any point in time a child terminates, the supervisor process receives a corresponding exit message and performs corrective actions, such as restarting the crashed process.</li><li>If a supervisor process terminates, its children are also taken down.</li></ul>	
How to check number of processes in the system?	<code>:erlang.system_info(:process_count)</code>	
What is the default maximum restart frequency for supervisor?	Three restars in five seconds.	
What is Dialyzer and Typer?	Dialyzer stands for “<i>DIscrepancy AnaLYZer for ERlang programs</i>,” and it does precisely that which is implied by its name: it finds discrepancies in Erlang code. Typer provides information about the types used in your programs.	
How to define new type in Erlang?	<code>-type NewTypeName(TVar1, TVar2, ... TVarN) :: Type.</code><br><br>Example:<br><code><br>-type onOff() :: on | off.<br>-type person() :: {person, name(), age()}.<br>-type people() :: [person()].<br>-type name() :: {firstname, string()}.<br>-type age() :: integer().<br>-type dict(Key,Val) :: [{Key,Val}].<br></code>	
Explain spec macro, Erlang	For example, <code>-spec plan_route(point(), point()) -> route()</code>; means that if the function plan_route/2 is called with two input arguments,<br>both of type point(), then it will return an object of type route().	
"How to check Erlang's code path?"	<code>code:get_path()</code>	
How to execute Erlang commands automatically after system is loaded?	Add <code>.erlang</code> script in you home directory or current directory. It will be executed after BEAM VM is started.	
"What is Erlang's <code>init</code> module?"	<code>init</code> module is responsible for Erlang/BEAM system startup. It contains functions to configure boot, getting cmd arguments, stopping the VM and shell options to evaluate Erlang expressions.	
How to compile and run <code>hello.erl</code> file and run <code>start</code> function from shell?	<code><br>erlc hello.erl<br>erl -noshell -s hello start -s init stop<br></code>	
How to eval Erlang expression from OS shell?	"<code>erl -eval 'expr' -noshell -s init stop</code>"	
What is escript?	Program (shell command) which allows to run Erlang programs as scripts. Example:<br><br><code>escript hello_world.erl</code>	
How to change process limit for BEAM?	"Use <code>erl</code>'s option <code>+P</code>."	
How to implement naive sleep function using receive?	<pre><br>sleep(T) -&gt;<br>  receive<br>  after T -&gt;<br>    true<br>  end.<br></pre>	
How to implement naive flush buffer fun using receive?	"<img src=""img735426423782847287.jpg"">"	
How to implement naive priority receive using receive?	"<img src=""img5919129619292137912.jpg"">"	
Implement naive timer with option to cancel using receive 	"<img src=""16641169239476528393728770931505.jpg"">"	
Explain how <code>receive</code> works under the hood.	"<ol><li>We we enter a receive statement, we start a timer (but only if an after section is present in the expression).</li><li>Take the first message in the mailbox and try to match it against Pattern1, Pattern2, and so on. If the match succeeds, the message is removed from the mailbox, and the expressions following the pattern are evaluated.</li><li>If none of the patterns in the receive statement matches the first message and in the mailbox, then the first message is removed from the mailbox and put into a ""save queue"". The second message in the mailbox is then tried. This procedure is repeated until a matching message is found or until all the messages in the mailbox have been examined. If none of the messages in the mailbox matches, then the process is suspended and will be rescheduled for execution the next time a new message is put in the mailbox.</li><li>When a new message arrives, the messages in the save queue are not rematched; only the new message is matched.</li><li>As soon as a message has been matched, then all messages that have been put into a save queue are reentered into the mailbox in the order in which they arrived at the process. If a timer was set, it is cleared.</li><li>If the timer elapses when we are waiting for a message, then evalaute the expressions ExpressionsTimeout and put any saved messages back into the mailbox in the order in which they arrived at the process.</li></ol>"	
Explain four Erlang BIFs to operate on registered processed	"<img src=""16641208252888332294989921128311.jpg"">"	
Why spawning using MFA over anonymous functions?	Spawning a function with an explicit module, function name, and argument list (called an MFA) is the proper way to ensure that our running processes will be correctly updated with new versions of the module code if it is compiled while it is being used. The dynamic code upgrade mechanism does not work with anonymous functions.	
What is the format of the error signal?	"<code>{'EXIT', Pid, Why}</code>"	
How to send a kill signal?	<code>erlang:exit(Pid, kill) | Process.exit(pid, :kill)</code>	
Explain monitor message format.	"In Erlang:  <code>{'DOWN', Ref, process, Object, Reason}</code><br><br>In Elixir: <code>{:DOWN, ref, :process, object, reason}</code>"	
"What is Erlang's <code>rpc/erpc</code> module?"	Those modules contain services similar to Remote Procedure Calls. It also contains broadcast facilities and parallel evaluators. A remote procedure call is a method to call a function on a remote node and collect the answer. It is used for collecting information on a remote node, or for running a function with some specific side effects on the remote node.	
How to perform RPC on different node?	<code>rpc:call(node@host, Mod, Fun, [Args])</code>	
"What's the difference between erl's <code>-name</code> and <code>-sname</code>?"	When we have two nodes on the same machine, we use “short” names (as indicated by the <code>-sname</code> flag), but if they are on different networks, we use <code>-name</code>. We can also use <code>-sname</code> on two different machines when they are on the same subnet. Using <code>-sname</code> is also the only method that will work if no DNS service is available. Short name will append localhost, e.g. <code>-sname gandalf</code> will give <code>gandalf@localhost</code>.	
"Why shouldn't <code>GenServer.init/1</code> function run too long?"	The supervisor starts a child, waits for it to fi nish, and then moves on to start the next child. When the worker is a GenServer, the next child is started only after the init/1 callback function for the current child is fi nished.<br>You may recall from chapter 7 that init/1 shouldn’t run for a long time. This is precisely why. If Todo.Database was taking, say, fi ve minutes to start, you wouldn’t have the to-do cache available all that time. Always make sure your init/1 functions run quickly, and use the trick mentioned in chapter 7 (a process that sends itself a message during initial-ization) when you need more complex initialization.	
What is process registry?	You need a way to give symbolic names to supervised processes and access each process via this name. When a process is restarted, the successor will register itself under the same name, which will allow you to reach the right process even after multi-ple restarts.<br>You could use registered names for this purpose. The problem is that names can only be atoms, and in this case you need something more elaborate that will allow you to use arbitrary terms, such as {:database_worker, 1}, {:database_worker, 2}, and so on. <br>What you need is a process registry that maintains a key-value map, where the keys are names and the values are pids. A process registry differs from standard local registration in that names can be arbitrarily complex.	
How to start process registry in Elixir and what are options?	<code>Registry.start_link(name: :my_registry, keys: :unique)</code><br><br> The single argument is a keyword list of registry options. The mandatory options are :name and :keys.<br><br>The :name option is an atom, and it specif i es the name of the registry process. You’ll use this name to interact with the registry.<br>The :keys option can either be :unique or :duplicate. In a unique registry, names are unique—only one process can be registered under any key. This is useful when you want to assign a unique role to processes. For example, in your system, only one process could be associated with {:database_worker, 1}. In contrast, in a duplicate registry, multiple processes can have the same name. Duplicate registry is useful in scenarios where a single publisher process needs to send notif i cations to a dynamic number of subscriber processes, which tend to come and go over time.	
Explain what is a  child specification and its arguments.	"The child specification describes how the supervisor starts, shuts down, and restarts child processes. The child specification is a map containing up to 6 elements. The first two keys in the following list are required, and the remaining ones are optional:<br><br><code>:id</code> - any term used to identify the child specification internally by the supervisor; defaults to the given module. In the case of conflicting :id values, the supervisor will refuse to initialize and require explicit IDs. This key is required.<br><br><code>:start</code> - a tuple with the module-function-args to be invoked to start the child process. This key is required.<br><br><code>:restart</code> - an atom that defines when a terminated child process should be restarted (see the ""Restart values"" section below). This key is optional and defaults to :permanent.<br><br><code>:shutdown</code> - an integer or atom that defines how a child process should be terminated (see the ""Shutdown values"" section below). This key is optional and defaults to 5_000 if the type is :worker or :infinity if the type is :supervisor.<br><br><code>:type</code> - specifies that the child process is a :worker or a :supervisor. This key is optional and defaults to :worker."	
What is a supervisor and supervision tree?	A supervisor is a process which supervises other processes, which we refer to as child processes. Supervisors are used to build a hierarchical process structure called a supervision tree. Supervision trees provide fault-tolerance and encapsulate how our applications start and shutdown.	
What are methods of starting a supervisor?	A supervisor may be started directly with a list of children via <code>start_link/2</code> or you may define a module-based supervisor that implements the required callbacks.	
When starting supervisor in Elixir, what values for child specification are supported?	Overall, the child specification can be one of the following:<br><br>- a map representing the child specification itself<br><br>- a tuple with a module as first element and the start argument as second - such as <code>{Stack, [:hello]}.</code> In this case, <code>Stack.child_spec([:hello])</code> is called to retrieve the child specification<br><br>- a module - such as <code>Stack</code>. In this case, <code>Stack.child_spec([])</code> is called to retrieve the child specification	
Which values are falsy in Elixir? Which are truthy?	<code>false</code> and <code>nil</code> are falsy. Everything else is truthy.	
What is <code>Kernel</code> module?	"<code>Kernel</code> is Elixir's default environment.<br>It mainly consists of:<br><ul><li>basic language primitives, such as arithmetic operators, spawning of processes, data type handling, and others</li><br><li>macros for control-flow and defining new functionality (modules, functions, and the like)</li><br><li>guard checks for augmenting pattern matching</li><br></ul>"	
What is <code>|></code>?	The |&gt;, or pipe operator, takes the value on the left and passes it as the first argument to the function on the right. We call these compositions pipes or pipelines, and we call each individual function a segment or pipe segment.	
Explain what does it mean that Phoenix is a function?	When a user makes a request, a connection is established.<br>In Phoenix, that connection is the whole universe of things we need to know about a user’s request. It is a struct, which is a map with a known set of fields. The connection comes in with information about the request: whether it’s HTTP or HTTPS, what the URL is, what the parameters look like. Then, each layer of Phoenix (Phenix function-pipiline) makes a little change to that connection. When Phoenix is done, that connection will have the response in it.<br><br><code>connection |&gt; phoenix </code>	
Explain Phoenix layers.	<pre>connection<br>  |&gt; endpoint()<br>  |&gt; router()<br>  |&gt; pipelines()<br>  |&gt; controller()<br></pre><br>Each request comes in through an endpoint, the first point of contact. It’s literally the end, or the beginning, of the Phoenix world. A request comes into an endpoint. From there, requests go into our router layer, which directs a request into the appropriate controller, after passing it through a series of pipelines. As you might expect, a pipeline groups functions together to handle common tasks. You might have a pipeline for browser requests, and another for JSON requests.	
Why does Erlang have uppercase variables?	Because of Prolog.	
"Where can you find Elixir's API reference?"	<code>hexdocs.pm/elixir</code>	
What is the default <code>child_spec/1</code> implementation for a <code>GenServer</code> callback module?	<pre>def child_spec(init_arg) do<br>  default = %{<br>    id: __MODULE__,<br>    start: {__MODULE__, :start_link, [init_arg]}<br>  }<br>  Supervisor.child_spec(default, opts)<br>end<br></pre><br>where <code>opts</code> are options provided to <code>use GenServer</code>, i.e. <code>:id</code>, <code>:restart</code> or <code>:shutdown</code>. For example:<br><pre>use GenServer, restart: :transient, shutdown: 10_000</pre>	
List & briefly explain all (8) <code>GenServer</code> module callbacks.	"<ul><br>  <li><code>init(init_arg)</code> - Invoked when the server is started. <code>start_link/3</code> or <code>start/3</code> will block until it returns.</li><br>  <li><code>handle_call(request, from, state)</code> - Invoked to handle synchronous <code>call/3</code> messages. <code>call/3</code> will block until a reply is received (unless the call times out or nodes are disconnected).</li><br>  <li><code>handle_cast(request, state)</code> - Invoked to handle asynchronous <code>cast/2</code> messages.</li><br>  <li><code>handle_continue(continue_arg, state)</code> - Invoked to handle continue instructions.</li><br>  <li><code>handle_info(msg, state)</code> - Invoked to handle all other messages.</li><br>  <li><code>terminate(reason, state)</code> - Invoked when the server is about to exit. It should do any cleanup required.</li><br>  <li><code>code_change(old_vsn, state, extra)</code> - Invoked to change the state of the <code>GenServer</code> when a different version of a module is loaded (hot code swapping) and the state's term structure should be changed.</li><br>  <li><code>format_status(reason, pdict_and_state)</code> - Invoked in some cases to retrieve a formatted version of the <code>GenServer</code> status.</li><br></ul>"	
